"All Ongoing Projects
JULY 2025
Orignal/Target DoC
Date of Orignal Cost Cumulative
(Revised DoC) Physical Progress
Sl.No Project Name (Agency) (Project Code) State Approval Revised Cost Expenditure
MM/YYYY (%)
MM/YYYY in Rs. Crore in Rs. Crore
Saturation 4G mobile coverage of Uncovered Villages through USOF
06/2024 26316
732 (Department of Telecommunications [DoT]) PAN India 07/2022 9291.8 72
03/2026 (30620)
(400013)
4G Services by BSNL
03/2024 28466
733 (Department of Telecommunications [DoT]) PAN India 11/2020 8332.52 92
03/2026 (19592)
(701593)
BharatNet
08/2023 61109
734 (Department of Telecommunications [DoT]) PAN India 10/2011 41486.14 80.52
03/2027 (188000)
(706775)
SUPER EDGE ROUTERS FOR BSNL INTERNET PROTOCOL - MULTI PROTOCOL
LEBEL SWITCHING [IPMPLS] NETWORK 03/2024 239.6
735 PAN India 03/2023 179.63 100
(BSNL) 03/2025 (239.6)
(709855)
MPLS-IP BASED ACCESS AND AGGREGATION NETWORK [MAAN] IN BSNL
ALONG WITH TEST AND MEASURING EQUIPMENT 08/2024 645.13
736 PAN India 05/2023 522.88 90
(BSNL) 08/2025 (645.13)
(709856)
Planning, Engineering, Supply, Installation, Testing, Commissioning, Integration &
Annual Maintenance of 4G mobile network at 1 Lakh sites on PAN India basis
06/2025 24544.55
737 including Mumbai & Delhi LSA on turnkey basis under Phase IX.2 Project. PAN India 06/2023 8333.37 96
03/2026 (24544.5)
(BSNL)
(709857)
OPTICAL TRANSPORT NETWORK [OTN] PH-4 IN BSNL
08/2025 810.99
738 (BSNL) PAN India 02/2024 741.9 100
(-) (810.99)
(709858)
Total (15) 151089.45 71833.18
Department of Water Resources, River Development & GR
Waste & Water
Interception and Diversion and STP works in Bhagalpur under Hybrid annuity based
PPP mode-Namami Gange Programme 02/2025 413.29
739 Bihar 03/2022 126.67 0
(National Mission for Clean Ganga) 12/2025 (413.29)
(616600)
Sewage Treatment Plant 100MLD and Sewerage Network 288 km in Digha-Patna
under Hybrid annuity based PPP mode-Namami Gange Programme 12/2025 824
740 Bihar 07/2019 385.32 55
(National Mission for Clean Ganga) (-) (824)
(616611)
Sewage Treatment Plant 50MLD and Sewerage Network 150 km in Kankarbagh-
Patna under Hybrid annuity based PPP mode-Namami Gange Programme 12/2025 578.89
741 Bihar 07/2019 165.84 53
(National Mission for Clean Ganga) (-) (578.89)
(616612)
Sewer Network, SPS and STP at Begusarai
04/2025 230.06
742 (National Mission for Clean Ganga) Bihar 03/2018 261.48 97
12/2025 (230.06)
(616615)
Sewer Networks, SPS and STP at Hajipur
06/2025 305.19
743 (National Mission for Clean Ganga) Bihar 03/2018 346.44 95
12/2025 (305.19)
(616616)
Interception & Diversion with Rehabilitation of sewerage scheme at Agra under Hybrid
annuity based PPP model-Namami Gange Programme 04/2025 842.25
744 Uttar Pradesh 04/2023 208.64 69
(National Mission for Clean Ganga) 12/2025 (842.25)
(616594)
Pollution Abatement Works for River Kali Meerut under Meerut Municipality
Interception & Diversion with STP 12/2024 690.71
745 Uttar Pradesh 11/2024 0 27
(National Mission for Clean Ganga) 05/2027 (690.71)
(616605)
Pollution Abatement works for River Ganga at Hooghly Chinsurah- Municipal Town
Interception & Diversion with STP 03/2025 154.73
746 West Bengal 12/2021 96.17 92
(National Mission for Clean Ganga) 12/2025 (154.73)
(616604)
Total (8) 4039.12 1590.56
Water Resources
Sardar Gouthu Latchanna Thotapalli Barrage Project
12/2019 353.05
747 (Water Resources-AP) Andhra Pradesh 01/2006 869.11 95
03/2025 (1023.24)
(400100)
Gundlakamma project
12/2019 397.41
748 (Water Resources-AP) Andhra Pradesh 04/2005 610.89 98
03/2027 (697.39)
(400101)
Polavaram Irrigation Project
04/2022 10151.04
749 (Water Resources-AP) Andhra Pradesh 11/2004 24347.76 83
03/2026 (55548.9)
(701415)
Borolia Irrigation Project
12/2022 256.16
750 (Department of Water Resources, River Development & GR) Assam 12/1996 0 0
03/2025 (256.16)
(701370)
Punpun Barrage Project
12/2019 571.07
751 (Water Resources-BR) Bihar 04/2007 469.66 44
03/2026 (658.12)
(400104)
Durgawati Reservoir Project
12/2019 691.15
752 (Irrigation and CAD-TG) Bihar 04/1997 978.51 87
12/2024 (971.96)
(701371)
Kelo Irrigation Project
12/2019 459.97
753 (Water Resources-CT) Chhattisgarh 04/2008 616.93 71
06/2025 (727.04)
(400111)
Kudali Irrigation Project
12/2022 382.29
754 (Department of Water Resources, River Development & GR) Chhattisgarh 12/2009 0 81.8
(-) (382.29)
(701399)
Sardar Sarovar CADWM Project
12/2019 5021.76
755 (Narmada and Water Resources, Water Supply and Kalpsar Department-GJ) Gujarat 04/2004 4954.99 90.3
03/2025 (6670.31)
(400097)
Sardar Sarovar Project
12/2019 20718.17
756 (Narmada and Water Resources, Water Supply and Kalpsar Department-GJ) Gujarat 04/1996 31767.59 93
03/2025 (33412.5)
(701372)
Subernarekha Multipurpose Project, Jharkhand
12/2019 3807.77
757 (Department of Water Resources-JH) Jharkhand 01/2012 5550.74 69
04/2025 (9579.58)
(701376)",,,,,,,,,
,Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)",
,732,"Saturation 4G mobile coverage of Uncovered Villages through USOF
(Department of Telecommunications [DoT])
(400013)",PAN India,07/2022,"06/2024
03/2026","26316
(30620)",9291.8,72,
,733,"4G Services by BSNL
(Department of Telecommunications [DoT])
(701593)",PAN India,11/2020,"03/2024
03/2026","28466
(19592)",8332.52,92,
,734,"BharatNet
(Department of Telecommunications [DoT])
(706775)",PAN India,10/2011,"08/2023
03/2027","61109
(188000)",41486.14,80.52,
,735,"SUPER EDGE ROUTERS FOR BSNL INTERNET PROTOCOL - MULTI PROTOCOL
LEBEL SWITCHING [IPMPLS] NETWORK
(BSNL)
(709855)",PAN India,03/2023,"03/2024
03/2025","239.6
(239.6)",179.63,100,
,736,"MPLS-IP BASED ACCESS AND AGGREGATION NETWORK [MAAN] IN BSNL
ALONG WITH TEST AND MEASURING EQUIPMENT
(BSNL)
(709856)",PAN India,05/2023,"08/2024
08/2025","645.13
(645.13)",522.88,90,
,737,"Planning, Engineering, Supply, Installation, Testing, Commissioning, Integration &
Annual Maintenance of 4G mobile network at 1 Lakh sites on PAN India basis
including Mumbai & Delhi LSA on turnkey basis under Phase IX.2 Project.
(BSNL)
(709857)",PAN India,06/2023,"06/2025
03/2026","24544.55
(24544.5)",8333.37,96,
,738,"OPTICAL TRANSPORT NETWORK [OTN] PH-4 IN BSNL
(BSNL)
(709858)",PAN India,02/2024,"08/2025
(-)","810.99
(810.99)",741.9,100,
,,Total (15),,,,151089.45,71833.18,,
,,"Department of Water Resources, River Development & GR",,,,,,,
,,Waste & Water,,,,,,,
,739,"Interception and Diversion and STP works in Bhagalpur under Hybrid annuity based
PPP mode-Namami Gange Programme
(National Mission for Clean Ganga)
(616600)",Bihar,03/2022,"02/2025
12/2025","413.29
(413.29)",126.67,0,
,740,"Sewage Treatment Plant 100MLD and Sewerage Network 288 km in Digha-Patna
under Hybrid annuity based PPP mode-Namami Gange Programme
(National Mission for Clean Ganga)
(616611)",Bihar,07/2019,"12/2025
(-)","824
(824)",385.32,55,
,741,"Sewage Treatment Plant 50MLD and Sewerage Network 150 km in Kankarbagh-
Patna under Hybrid annuity based PPP mode-Namami Gange Programme
(National Mission for Clean Ganga)
(616612)",Bihar,07/2019,"12/2025
(-)","578.89
(578.89)",165.84,53,
,742,"Sewer Network, SPS and STP at Begusarai
(National Mission for Clean Ganga)
(616615)",Bihar,03/2018,"04/2025
12/2025","230.06
(230.06)",261.48,97,
,743,"Sewer Networks, SPS and STP at Hajipur
(National Mission for Clean Ganga)
(616616)",Bihar,03/2018,"06/2025
12/2025","305.19
(305.19)",346.44,95,
,744,"Interception & Diversion with Rehabilitation of sewerage scheme at Agra under Hybrid
annuity based PPP model-Namami Gange Programme
(National Mission for Clean Ganga)
(616594)",Uttar Pradesh,04/2023,"04/2025
12/2025","842.25
(842.25)",208.64,69,
,745,"Pollution Abatement Works for River Kali Meerut under Meerut Municipality
Interception & Diversion with STP
(National Mission for Clean Ganga)
(616605)",Uttar Pradesh,11/2024,"12/2024
05/2027","690.71
(690.71)",0,27,
,746,"Pollution Abatement works for River Ganga at Hooghly Chinsurah- Municipal Town
Interception & Diversion with STP
(National Mission for Clean Ganga)
(616604)",West Bengal,12/2021,"03/2025
12/2025","154.73
(154.73)",96.17,92,
,,Total (8),,,,4039.12,1590.56,,
,,Water Resources,,,,,,,
,747,"Sardar Gouthu Latchanna Thotapalli Barrage Project
(Water Resources-AP)
(400100)",Andhra Pradesh,01/2006,"12/2019
03/2025","353.05
(1023.24)",869.11,95,
,748,"Gundlakamma project
(Water Resources-AP)
(400101)",Andhra Pradesh,04/2005,"12/2019
03/2027","397.41
(697.39)",610.89,98,
,749,"Polavaram Irrigation Project
(Water Resources-AP)
(701415)",Andhra Pradesh,11/2004,"04/2022
03/2026","10151.04
(55548.9)",24347.76,83,
,750,"Borolia Irrigation Project
(Department of Water Resources, River Development & GR)
(701370)",Assam,12/1996,"12/2022
03/2025","256.16
(256.16)",0,0,
,751,"Punpun Barrage Project
(Water Resources-BR)
(400104)",Bihar,04/2007,"12/2019
03/2026","571.07
(658.12)",469.66,44,
,752,"Durgawati Reservoir Project
(Irrigation and CAD-TG)
(701371)",Bihar,04/1997,"12/2019
12/2024","691.15
(971.96)",978.51,87,
,753,"Kelo Irrigation Project
(Water Resources-CT)
(400111)",Chhattisgarh,04/2008,"12/2019
06/2025","459.97
(727.04)",616.93,71,
,754,"Kudali Irrigation Project
(Department of Water Resources, River Development & GR)
(701399)",Chhattisgarh,12/2009,"12/2022
(-)","382.29
(382.29)",0,81.8,
,755,"Sardar Sarovar CADWM Project
(Narmada and Water Resources, Water Supply and Kalpsar Department-GJ)
(400097)",Gujarat,04/2004,"12/2019
03/2025","5021.76
(6670.31)",4954.99,90.3,
,756,"Sardar Sarovar Project
(Narmada and Water Resources, Water Supply and Kalpsar Department-GJ)
(701372)",Gujarat,04/1996,"12/2019
03/2025","20718.17
(33412.5)",31767.59,93,
,757,"Subernarekha Multipurpose Project, Jharkhand
(Department of Water Resources-JH)
(701376)",Jharkhand,01/2012,"12/2019
04/2025","3807.77
(9579.58)",5550.74,69,
"Project Assessment, Infrastructure Monitoring and Analytics for Nation-building For details visit: https://www.ipm.mospi.gov.in
Page 63
(PAIMANA)",,,,,,,,,
